# ID, cp_x, cp_y, cp_z, bx_x, bx_y, bx_z, by_x, by_y, by_z, dx, dy, slit_id
FHC1_A_CH1,-0.738357,2.28315,-0.0472395,-0.2257390201948394,0.6487060580338954,-0.7267890650192795,0.9442694019843569,0.3291731401320987,0.0005833452483355534,0.00470013,0.0119998,SLIT_FHC1_OBEN
FHC1_A_CH2,-0.739658,2.28689,-0.0504238,-0.2568511102442445,0.7358233158261044,-0.6265712689335317,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138213,0.00388332,SLIT_FHC1_OBEN
FHC1_A_CH3,-0.740959,2.29063,-0.0536083,-0.25605898751891704,0.7356259641433845,-0.6271269694319509,0.9442947857228583,0.3290999253214225,0.0007725348246982228,0.0013825,0.00388332,SLIT_FHC1_OBEN
FHC1_A_CH4,-0.742261,2.29436,-0.0567925,-0.25605898751891704,0.7356259641433845,-0.6271269694319509,0.9441871673179304,0.32940905837406376,0.0005151050912809671,0.0013825,0.00388271,SLIT_FHC1_OBEN
FHC1_B_CH5,-0.743684,2.29846,-0.0607995,-0.22780203923560152,0.6552021128490731,-0.7202891240593681,0.9442668882036064,0.329179961026768,0.0007727229085135405,0.00138278,0.00388238,SLIT_FHC1_OBEN
FHC1_B_CH6,-0.744842,2.30178,-0.064459,-0.2279100912186392,0.6547892620725793,-0.720630288424764,0.9442670448213069,0.3291800156251121,0.000515148024452413,0.00138212,0.00388238,SLIT_FHC1_OBEN
FHC1_B_CH7,-0.746,2.30511,-0.0681187,-0.22780203923560152,0.6552021128490731,-0.7202891240593681,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138278,0.00388332,SLIT_FHC1_OBEN
FHC1_B_CH8,-0.747158,2.30844,-0.071778,-0.2284880292601789,0.6550940838913537,-0.7201700922249878,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138301,0.00388332,SLIT_FHC1_OBEN
FHC1_C_CH10,-0.749931,2.31641,-0.079171,-0.1959671064153608,0.5633133058941359,-0.8026674358698067,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138289,0.00388332,SLIT_FHC1_OBEN
FHC1_C_CH11,-0.750927,2.31927,-0.083247,-0.19588704646264996,0.5638071337299936,-0.8023401903078946,0.9442670448213069,0.3291800156251121,0.000515148024452413,0.00138345,0.00388238,SLIT_FHC1_OBEN
FHC1_C_CH12,-0.751923,2.32213,-0.087323,-0.19588704646264996,0.5638071337299936,-0.8023401903078946,0.9442670448213069,0.3291800156251121,0.000515148024452413,0.00138345,0.00388238,SLIT_FHC1_OBEN
FHC1_C_CH9,-0.748935,2.31354,-0.075095,-0.19588704646264996,0.5638071337299936,-0.8023401903078946,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138345,0.00388332,SLIT_FHC1_OBEN
FHC2_D_CH13,-0.733387,2.26908,-0.155392,0.05629710101919118,-0.15963200288994506,-0.9855700178425575,0.9442694019843569,0.3291731401320987,0.0005833452483355534,0.00539992,0.0119998,SLIT_FHC2_MITTE
FHC2_D_CH14,-0.734085,2.27109,-0.160005,-0.1373379416011042,0.39611083156558996,-0.9078736139536101,0.9442670448213069,0.3291800156251121,0.000515148024452413,0.00138345,0.00388238,SLIT_FHC2_MITTE
FHC2_D_CH15,-0.734783,2.2731,-0.164617,-0.13746695482431082,0.3957608699413246,-0.9080067016022608,0.9442670448213069,0.3291800156251121,0.000515148024452413,0.00138215,0.00388238,SLIT_FHC2_MITTE
FHC2_D_CH16,-0.735481,2.27511,-0.16923,-0.13742792848018837,0.39637079372195433,-0.9077465275933982,0.9442670448213069,0.3291800156251121,0.000515148024452413,0.00138254,0.00388238,SLIT_FHC2_MITTE
FHC2_E_CH17,-0.736644,2.27846,-0.17391,-0.0614890329096156,0.17650909446963423,-0.9823765257788634,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138236,0.00388332,SLIT_FHC2_MITTE
FHC2_E_CH18,-0.736955,2.27936,-0.1789,-0.0607681975139658,0.1765169927786688,-0.9824199598090824,0.9441871673179304,0.32940905837406376,0.0005151050912809671,0.0013823,0.00388271,SLIT_FHC2_MITTE
FHC2_E_CH19,-0.737265,2.28026,-0.183891,-0.060717277249747785,0.17709193364514453,-0.9823196319331103,0.9442670448213069,0.3291800156251121,0.000515148024452413,0.00138346,0.00388238,SLIT_FHC2_MITTE
FHC2_E_CH20,-0.737575,2.28115,-0.188881,-0.0607681975139658,0.1765169927786688,-0.9824199598090824,0.9442670448213069,0.3291800156251121,0.000515148024452413,0.0013823,0.00388238,SLIT_FHC2_MITTE
FHC2_F_CH21,-0.737058,2.27968,-0.194542,0.01663389948898458,-0.04700879855582746,-0.9987559693168939,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138272,0.00388332,SLIT_FHC2_MITTE
FHC2_F_CH22,-0.736972,2.27944,-0.199615,0.017356894702842737,-0.047008185653554024,-0.9987436951930336,0.9442668882036064,0.329179961026768,0.0007727229085135405,0.00138274,0.00388238,SLIT_FHC2_MITTE
FHC2_F_CH23,-0.736886,2.2792,-0.204688,0.017356894702842737,-0.047008185653554024,-0.9987436951930336,0.9442670448213069,0.3291800156251121,0.000515148024452413,0.00138274,0.00388238,SLIT_FHC2_MITTE
FHC2_F_CH24,-0.736799,2.27897,-0.209762,0.01663389948898458,-0.04700879855582746,-0.9987559693168939,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138272,0.00388332,SLIT_FHC2_MITTE
