# ID, cp_x, cp_y, cp_z, bx_x, bx_y, bx_z, by_x, by_y, by_z, dx, dy, slit_id
FVC1_A_CH1,-0.382987,1.8707,1.01719,-0.20931398457690892,0.9622459290978735,-0.17398398718016436,0.9769225217854369,0.21352889547520384,0.005272307419146214,0.00300027,0.0110009,SLIT_FVC1_OBEN
FVC1_A_CH2,-0.384041,1.87549,1.01852,-0.2076000422719401,0.9425161919170515,0.26185005331843697,0.9769243586535491,0.21351707838749978,0.005408761985692818,0.00138247,0.00388259,SLIT_FVC1_OBEN
FVC1_A_CH3,-0.385094,1.88028,1.01985,-0.20690689823152225,0.9426575363478775,0.2618898711877963,0.9769257784203436,0.2135169515715382,0.005151198831640139,0.00138226,0.00388259,SLIT_FVC1_OBEN
FVC1_A_CH4,-0.386148,1.88507,1.02118,-0.20741908013534002,0.9424183640986933,0.2623451013557378,0.9769257784203436,0.2135169515715382,0.005151198831640139,0.00138367,0.00388259,SLIT_FVC1_OBEN
FVC1_B_CH5,-0.387477,1.89113,1.02192,-0.2133960768015937,0.9765583514649325,-0.028211710153440178,0.9769257784203436,0.2135169515715382,0.005151198831640139,0.00138241,0.00388259,SLIT_FVC1_OBEN
FVC1_B_CH6,-0.38856,1.89609,1.02178,-0.2127049967709255,0.9767089851725811,-0.028215999571652918,0.9769257784203436,0.2135169515715382,0.005151198831640139,0.00138219,0.00388259,SLIT_FVC1_OBEN
FVC1_B_CH7,-0.389644,1.90105,1.02164,-0.21340002243824424,0.9765781026836723,-0.02748890289035919,0.9769257784203436,0.2135169515715382,0.005151198831640139,0.00138238,0.00388259,SLIT_FVC1_OBEN
FVC1_B_CH8,-0.390727,1.90601,1.02149,-0.21340002243824424,0.9765781026836723,-0.02748890289035919,0.9769257784203436,0.2135169515715382,0.005151198831640139,0.00138238,0.00388259,SLIT_FVC1_OBEN
FVC1_C_CH10,-0.393057,1.91674,1.0188,-0.20106009679980372,0.9271914463936478,-0.31605515216384145,0.9769243586535491,0.21351707838749978,0.005408761985692818,0.00138267,0.00388259,SLIT_FVC1_OBEN
FVC1_C_CH11,-0.394077,1.92145,1.0172,-0.2009250036042932,0.9272930166342459,-0.3158430056657498,0.9769243586535491,0.21351707838749978,0.005408761985692818,0.0013836,0.00388259,SLIT_FVC1_OBEN
FVC1_C_CH12,-0.395098,1.92616,1.0156,-0.20097109950875439,0.9275044592442079,-0.3151921560641252,0.9769257784203436,0.2135169515715382,0.005151198831640139,0.00138328,0.00388259,SLIT_FVC1_OBEN
FVC1_C_CH9,-0.392036,1.91203,1.02041,-0.20041195854599314,0.9275378081443894,-0.31544993475108046,0.9769257784203436,0.2135169515715382,0.005151198831640139,0.00138215,0.00388259,SLIT_FVC1_OBEN
FVC1_D_CH13,-0.396275,1.93162,1.01278,-0.17140696220288354,0.7984528239323887,-0.5771418727338826,0.9769243586535491,0.21351707838749978,0.005408761985692818,0.00138267,0.00388259,SLIT_FVC1_OBEN
FVC1_D_CH14,-0.397146,1.93568,1.00985,-0.1713790273538944,0.7990471275363216,-0.5763270919878626,0.9769257784203436,0.2135169515715382,0.005151198831640139,0.0013829,0.00388259,SLIT_FVC1_OBEN
FVC1_D_CH15,-0.398017,1.93973,1.00692,-0.17210900348253966,0.7983530161542741,-0.5770710116767435,0.9769361756337187,0.21346303837641412,0.005407400972143283,0.00138285,0.00388357,SLIT_FVC1_OBEN
